EntityIdx,SiteLocation
Site-210,POINT(-583.741867832605 3223.27002141964)
Site-211,POINT(44.2489642741164 2597.23643313046)
Site-212,POINT(928.531387496808 631.921273005095)
Site-213,POINT(-1814.69150636355 1838.64040887862)
Site-214,POINT(-1255.51969357234 1449.12935593508)
Site-215,POINT(226.283683328385 1074.69684543033)
Site-216,POINT(-1443.0040155406 2064.61814553024)
Site-217,POINT(-689.982958277485 2199.38090370571)
Site-218,POINT(-1401.12048717034 2161.5171391146)
Site-219,POINT(-1756.65873802628 1728.3399080484)
Site-220,POINT(767.46341609356 1360.27511516004)
Site-221,POINT(-1598.73274837658 1449.9617707486)
Site-222,POINT(877.771037890744 495.645509979331)
Site-223,POINT(108.83621173892 2656.86503268025)
Site-224,POINT(-1162.89359268745 1598.06208817783)
Site-225,POINT(-659.910726642234 1688.66294416596)
Site-226,POINT(-940.817886241628 3101.63355629369)
Site-227,POINT(860.691880782588 2391.62512929946)
Site-228,POINT(-864.245236903235 2200.21795004146)
Site-229,POINT(-1254.56136436619 1586.30928484473)
Site-230,POINT(253.470490621238 2014.96840550237)
Site-231,POINT(380.173002454068 724.444314297853)
Site-232,POINT(382.598010849506 1041.71036572139)
Site-233,POINT(116.630880697733 1165.47302697075)
Site-234,POINT(770.641370587785 1162.51020112788)
Site-235,POINT(-1942.02246020143 2077.11916174585)
Site-236,POINT(-873.404579942018 1873.51921283039)
Site-237,POINT(-1749.89185857121 745.345254943785)
Site-238,POINT(-895.811216050246 1408.75080003951)
Site-239,POINT(-668.728192305133 1858.35336480467)
Site-240,POINT(-775.024371314431 1155.72884460105)
Site-241,POINT(-779.320246800223 2273.05465552856)
Site-242,POINT(-1934.04115927505 1800.56749469799)
Site-243,POINT(-1019.80284364508 1956.79295621552)
Site-244,POINT(469.520003359914 2084.03461136037)
Site-245,POINT(-169.102126520604 2592.07575965114)
Site-246,POINT(929.15857397622 2414.72476649735)
Site-247,POINT(-1318.42808110176 1965.92545195854)
Site-248,POINT(-905.290294885584 1163.25990562693)
Site-249,POINT(-1815.52724115909 1746.68082264188)
Site-250,POINT(411.330586711068 1191.54025781945)
Site-251,POINT(-762.013708735154 2673.34540967525)
Site-252,POINT(-1540.34793614086 1466.71491736853)
Site-253,POINT(-1098.65250757341 2074.55512724372)
Site-254,POINT(938.953551133466 403.353484752779)
Site-255,POINT(-1352.76530063607 1745.41419271331)
Site-256,POINT(-879.216021669422 2375.34550327327)
Site-257,POINT(-836.623898362204 2973.84011876089)
Site-258,POINT(-1492.18802062906 1985.03013099547)
Site-259,POINT(-1154.37991454098 2032.21643723249)
Site-260,POINT(770.641370587785 1117.31332465336)
Site-261,POINT(-895.811216050246 1606.55680208267)
Site-262,POINT(875.570253977221 1053.98508899897)
Site-263,POINT(1028.50695736815 2609.27696168967)
Site-264,POINT(-1432.93031272339 1197.25665458686)
Site-265,POINT(-1705.21260719431 901.841049729767)
Site-266,POINT(-279.844158882301 1469.70249964471)
Site-267,POINT(838.960973288169 1053.98508899897)
Site-268,POINT(-214.112341748911 1449.91567220746)
Site-269,POINT(-1167.64805052508 2050.00006071151)
Site-270,POINT(-650.775354583424 3010.72236408661)
Site-271,POINT(-780.851775790305 1779.82354763365)
Site-272,POINT(-457.791280854316 2824.55918421369)
Site-273,POINT(-713.140097602285 2208.8949287864)
Site-274,POINT(353.222270687782 2431.86792687715)
Site-275,POINT(-269.360685249253 1496.11436384784)
Site-276,POINT(-830.194141473425 2906.66841044966)
Site-277,POINT(-1172.61835615574 1947.16077394001)
Site-278,POINT(865.284382383409 687.244731629953)
Site-279,POINT(-1160.03157194394 703.615110609747)
Site-280,POINT(-873.404579942018 1854.32638165341)
Site-281,POINT(413.987105083513 2084.03461136037)
Site-282,POINT(-1478.70509306298 1878.35477308971)
Site-283,POINT(789.033563990521 720.696879885578)
Site-284,POINT(952.098655612173 1338.65631131145)
Site-285,POINT(-1493.60644546344 1081.3109859039)
Site-286,POINT(-1401.12048717034 2064.61814553024)
Site-287,POINT(44.2489642741164 2567.14443257801)
Site-288,POINT(974.803036105308 2414.72476649735)
Site-289,POINT(-1599.05057471985 1263.44655689181)
Site-290,POINT(-1246.54778630294 761.33596329246)
Site-291,POINT(-1529.56747076438 1119.44718109331)
Site-292,POINT(-1805.16639373307 866.743653735228)
Site-293,POINT(875.525566912298 723.705596765134)
Site-294,POINT(14.9530340843393 3149.85515983658)
Site-295,POINT(579.943478411923 266.632431213989)
Site-296,POINT(-744.392253757938 3192.07262592218)
Site-297,POINT(-1942.39798523 1819.25704205492)
Site-298,POINT(43.8764612935769 2715.54226238852)
Site-299,POINT(685.526322641321 1150.10461463704)
Site-300,POINT(805.891496866392 736.03578177018)
Site-301,POINT(275.833602925953 1031.80953184867)
Site-302,POINT(-1531.30353980088 2164.49321209862)
Site-303,POINT(-888.002414654507 1686.04171497668)
Site-304,POINT(-842.757413583225 2411.08569221279)
Site-305,POINT(-751.327640256859 2844.61926508811)
Site-306,POINT(-160.3355952318 2788.44852591539)
Site-307,POINT(787.399219998321 489.23517044752)
Site-308,POINT(-1896.25131455466 2077.11916174585)
Site-309,POINT(588.548515744721 289.361399801809)
Site-310,POINT(-1399.4362398382 1864.70398980776)
Site-311,POINT(1012.17122110029 1512.9459502396)
Site-312,POINT(-1813.19455704993 1956.55998620513)
Site-313,POINT(-1250.81218980063 1870.51153449824)
Site-314,POINT(-721.89839672133 3201.72959213137)
Site-315,POINT(-915.894495658492 1234.37186631308)
Site-316,POINT(-1602.74745214089 1380.33276453006)
Site-317,POINT(166.978106219436 2659.40751056079)
Site-318,POINT(942.073824316299 647.793912326744)
Site-319,POINT(-1603.99280908534 2077.95833415314)
Site-320,POINT(738.005541091488 1162.51020112788)
Site-321,POINT(283.104652927647 2759.66045680902)
Site-322,POINT(1188.31259749514 425.920208205248)
Site-323,POINT(1012.17122110029 1310.22831290786)
Site-324,POINT(-1172.61835615574 1928.3268240872)
Site-325,POINT(-430.471182077475 1580.15632542925)
Site-326,POINT(933.961151471816 1557.25945425814)
Site-327,POINT(-1159.29076563154 1909.49287423439)
Site-328,POINT(-1071.46411216692 2034.57101250748)
Site-329,POINT(-1505.25835780942 1197.25665458686)
Site-330,POINT(154.843625798958 987.554820947971)
Site-331,POINT(579.943478411923 266.632431213989)
Site-332,POINT(-842.757413583225 2375.34550327327)
Site-333,POINT(-892.202538047516 1302.60555775843)
Site-334,POINT(4.06590494545123 3169.90578783055)
Site-335,POINT(772.17563111465 736.03578177018)
Site-336,POINT(-1503.24787563361 1012.95034748899)
Site-337,POINT(1005.72062227167 403.353484752779)
Site-338,POINT(837.869649718043 2322.32621770579)
Site-339,POINT(-1411.30134818697 1774.09372675999)
Site-340,POINT(-796.218797488158 1221.17398119257)
Site-341,POINT(1030.59919268803 1171.14710041843)
Site-342,POINT(-892.040823364 1220.977301928)
Site-343,POINT(1133.04129072426 1097.36703644631)
Site-344,POINT(-900.628085676089 1863.9227972419)
Site-345,POINT(61.3568355439584 2422.31123990111)
Site-346,POINT(-1507.46519313538 1964.46098561971)
Site-347,POINT(101.798050440769 2597.23643313046)
Site-348,POINT(-38.5207352423608 2664.45257836313)
Site-349,POINT(-1408.58644129399 1843.59226635748)
Site-350,POINT(-1934.04115927505 1800.56749469799)
Site-351,POINT(-1312.57263846766 1849.35180355812)
Site-352,POINT(-169.102126520604 2566.26782281135)
Site-353,POINT(684.142867473411 2022.62948130702)
Site-354,POINT(-1531.30353980088 2187.5483061535)
Site-355,POINT(-939.748167952985 1220.977301928)
Site-356,POINT(855.04319785452 723.705596765134)
Site-357,POINT(-1749.89185857121 671.173714475041)
Site-358,POINT(568.33206495764 2164.5129121319)
Site-359,POINT(-1522.74236564169 1943.89184024395)
Site-360,POINT(-466.591503190868 2848.89692996057)
Site-361,POINT(-1478.70509306298 1839.02956410179)
Site-362,POINT(-1334.61976309043 1586.30928484473)
Site-363,POINT(355.337069369676 2759.66045680902)
Site-364,POINT(-1776.48500054973 1620.96021783985)
Site-365,POINT(-1591.14362081617 1427.8984014274)
Site-366,POINT(-529.749442987369 3243.66309546586)
Site-367,POINT(208.858854273146 2700.03706478171)
Site-368,POINT(-831.702910539736 2849.93140413225)
Site-369,POINT(-1758.50074446374 763.888140060971)
Site-370,POINT(-820.86535104986 3117.41711555784)
Site-371,POINT(-561.772993820842 1623.65529793017)
Site-372,POINT(-50.9750729306855 2648.1514945807)
Site-373,POINT(-1019.60571397758 1606.55680208267)
Site-374,POINT(-1172.61835615574 1871.82497452876)
Site-375,POINT(-881.540123512007 3176.87240152271)
Site-376,POINT(770.641370587785 1162.51020112788)
Site-377,POINT(156.173931100164 1165.47302697075)
Site-378,POINT(355.417408185694 1131.26112595821)
Site-379,POINT(-1741.28297267868 726.802369826599)
Site-380,POINT(69.3886797787796 3049.6020198667)
Site-381,POINT(-1455.39343150397 994.511251237254)
Site-382,POINT(-1814.69150636355 1838.64040887862)
Site-383,POINT(1189.07877263638 1226.1193526391)
Site-384,POINT(116.630880697733 1128.46518282294)
Site-385,POINT(-586.617411885471 1584.01411921833)
Site-386,POINT(-26.0320840179233 709.884702751763)
Site-387,POINT(-1540.34793614086 1374.96123113465)
Site-388,POINT(-751.327640256859 2902.16165503954)
Site-389,POINT(955.616261135789 631.921273005095)
Site-390,POINT(-659.81872014047 2471.91513467129)
Site-391,POINT(-1497.2089164514 1858.69216859575)
Site-392,POINT(29.9306649509953 2480.66339480477)
Site-393,POINT(-25.2690119261728 851.634936141201)
Site-394,POINT(-683.053546843015 1680.8752396532)
Site-395,POINT(-1142.36381887747 1606.88431343981)
Site-396,POINT(-918.939649736516 3110.19551480454)
Site-397,POINT(656.955269130131 403.155322163963)
Site-398,POINT(441.753554221714 2092.66049856763)
Site-399,POINT(9.73074714682025 1232.19297845207)
Site-400,POINT(275.833602925953 1074.69684543033)
Site-401,POINT(-1835.68322993192 1648.45451805559)
Site-402,POINT(1113.52045615371 564.418139416981)
Site-403,POINT(-1509.74449874375 861.602140770138)
Site-404,POINT(-1162.62012640032 1662.74541495145)
Site-405,POINT(-935.698154866011 1302.60555775843)
Site-406,POINT(1167.2868039223 425.920208205248)
Site-407,POINT(-847.55451661888 2838.09783154432)
Site-408,POINT(-768.000085758758 1629.48824168726)
Site-409,POINT(692.049426116327 569.754130760195)
Site-410,POINT(-828.757967271405 2996.50302536173)
Site-411,POINT(-1756.65873802628 1765.75272151029)
Site-412,POINT(-16.7013331595062 732.555087764021)
Site-413,POINT(-1812.93074215248 845.154708741231)
Site-414,POINT(-873.404579942018 1873.51921283039)
Site-415,POINT(-1757.57848251454 1673.42738617958)
Site-416,POINT(-1531.30353980088 2141.43811804374)
Site-417,POINT(-1538.51282214127 1012.95034748899)
Site-418,POINT(1104.11699396835 1097.36703644631)
Site-419,POINT(73.7875798725447 272.556544147649)
Site-420,POINT(-678.788368756798 2888.6007966247)
Site-421,POINT(45.6612351754536 50.5609882532774)
Site-422,POINT(-1516.73141786382 2118.38302398887)
Site-423,POINT(-1599.05057471985 1298.33316973897)
Site-424,POINT(154.843625798958 1041.14444029515)
Site-425,POINT(837.869649718043 2368.52549210157)
Site-426,POINT(-1092.27105180378 1955.10718010903)
Site-427,POINT(-780.851775790305 1808.93419774741)
Site-428,POINT(1189.07877263638 1302.02804068601)
Site-429,POINT(-799.130758061242 1163.98053888136)
Site-430,POINT(-1148.07772381766 768.117626538918)
Site-431,POINT(673.785080325805 1127.19720525039)
Site-432,POINT(349.614109833403 2094.01526283424)
Site-433,POINT(-91.9038302273134 1621.0787728092)
Site-434,POINT(928.531387496808 631.921273005095)
Site-435,POINT(-1451.0123239949 1189.33433585082)
Site-436,POINT(-1502.15929592676 2072.27283587912)
Site-437,POINT(-394.970764947247 1617.93724626583)
Site-438,POINT(108.83621173892 2656.86503268025)
Site-439,POINT(47.6144215010035 3049.6020198667)
Site-440,POINT(-1171.98542007022 768.117626538918)
Site-441,POINT(-1233.52954522561 1884.70067337759)
Site-442,POINT(1189.07877263638 1150.21066459219)
Site-443,POINT(-779.320246800223 2481.38377152547)
Site-444,POINT(-579.952309136095 1475.85742067204)
Site-445,POINT(-1235.78304497628 1769.97808067544)
Site-446,POINT(-1390.28603838241 1885.81571325804)
Site-447,POINT(716.211709386293 577.939586623343)
Site-448,POINT(-1652.59034424996 892.540892905691)
Site-449,POINT(-940.817886241628 3101.63355629369)
Site-450,POINT(108.83621173892 2656.86503268025)
Site-451,POINT(-851.094744507854 2735.03451304627)
Site-452,POINT(-659.81872014047 2556.21881459553)
Site-453,POINT(32.9349446317487 841.83081192627)
Site-454,POINT(355.337069369676 2799.84284638645)
Site-455,POINT(-1469.0943352664 1181.41201711478)
Site-456,POINT(-1365.32314918943 2195.37165441167)
Site-457,POINT(-1019.6124948631 1675.36631657515)
Site-458,POINT(30.7289295245066 21.4978967526186)
Site-459,POINT(-873.404579942018 1854.32638165341)
Site-460,POINT(-768.728328636225 2887.77605755168)
Site-461,POINT(-143.594395720054 2788.44852591539)
Site-462,POINT(254.30749591335 724.444314297853)
Site-463,POINT(-430.471182077475 1617.93724626583)
Site-464,POINT(68.9568334564953 796.936941452878)
Site-465,POINT(598.917621895595 406.491878958837)
Site-466,POINT(-1410.15545365931 1702.21640572264)
Site-467,POINT(1008.30502268786 587.569708741528)
Site-468,POINT(29.2681116471057 2754.83360745633)
Site-469,POINT(-1538.51282214127 961.443145409043)
Site-470,POINT(770.641370587785 1117.31332465336)
Site-471,POINT(837.869649718043 2276.12694331001)
Site-472,POINT(-756.248714133065 1808.93419774741)
Site-473,POINT(941.679978738197 2278.45111452302)
Site-474,POINT(-1732.67408678615 708.259484709413)
Site-475,POINT(-1600.89348966298 1018.49720731736)
Site-476,POINT(-931.461710257676 2820.76608302781)
Site-477,POINT(-660.744512561652 2905.38421642456)
Site-478,POINT(-689.982958277485 2199.38090370571)
Site-479,POINT(-1803.76862830318 770.45166860678)
Site-480,POINT(344.758351819755 797.673396139595)
Site-481,POINT(228.566505288984 821.142280242903)
Site-482,POINT(-678.788368756798 2888.6007966247)
Site-483,POINT(-1832.85776400731 1964.53839373605)
Site-484,POINT(-1651.26084740496 1298.33316973897)
Site-485,POINT(-1432.93031272339 1197.25665458686)
Site-486,POINT(-1154.37991454098 2032.21643723249)
Site-487,POINT(773.416294195502 504.028046129467)
Site-488,POINT(512.701605187059 2198.72879035102)
Site-489,POINT(1105.26028823235 583.388551092711)
Site-490,POINT(-1240.93851373221 2034.72794357238)
Site-491,POINT(-918.939649736516 3110.19551480454)
Site-492,POINT(874.393416901922 540.937999144983)
Site-493,POINT(420.748074525707 2031.73513162443)
Site-494,POINT(936.883651970738 571.067940674308)
Site-495,POINT(-1835.68322993192 1746.68082264188)
Site-496,POINT(-750.469881867439 2661.55567582967)
Site-497,POINT(-1162.62012640032 1705.55364528696)
Site-498,POINT(60.5935408264006 79.6240797539363)
Site-499,POINT(-1576.48958511338 2194.23800897363)
Site-500,POINT(-2005.68835708042 1941.25809327034)
Site-501,POINT(-826.385870089648 1463.28678580803)
Site-502,POINT(-785.749684368276 2200.21795004146)
Site-503,POINT(-1010.6463915715 1975.61425027301)
Site-504,POINT(3.69801305824 453.316063349956)
Site-505,POINT(933.961151471816 1457.03775078775)
Site-506,POINT(-1767.03174153213 1647.19380200971)
Site-507,POINT(-46.4929918261599 1565.98742096641)
Site-508,POINT(-1479.98927767924 1639.72844547857)
Site-509,POINT(1002.29607354948 1563.62535957254)
Site-510,POINT(-1652.59034424996 842.011980935007)
Site-511,POINT(-699.125575118763 2830.23366760025)
Site-512,POINT(1040.37335395608 2586.85301118443)
Site-513,POINT(1029.33769404419 711.670472264628)
Site-514,POINT(-570.375931551665 2838.21713224258)
Site-515,POINT(692.049426116327 569.754130760195)
Site-516,POINT(-892.202538047516 1343.75625024946)
Site-517,POINT(-900.628085676089 1863.9227972419)
Site-518,POINT(-664.324198360033 2830.23366760025)
Site-519,POINT(-847.860020323933 2256.96108941099)
Site-520,POINT(-733.926951877494 2916.54725252739)
Site-521,POINT(-1594.1719378878 1094.47748848719)
Site-522,POINT(-847.860020323933 2306.15219128911)
Site-523,POINT(650.793986523779 2252.50611416187)
Site-524,POINT(-46.5856875422232 1021.57054081135)
Site-525,POINT(-1172.61835615574 1947.16077394001)
Site-526,POINT(-645.790986515721 1847.16559521032)
Site-527,POINT(941.679978738197 2324.65232854553)
Site-528,POINT(-38.5207352423608 2664.45257836313)
Site-529,POINT(14.629057963423 1045.05599461618)
Site-530,POINT(-1010.58612778007 2094.38615020365)
Site-531,POINT(789.033563990521 720.696879885578)
Site-532,POINT(-1515.71273983981 1839.02956410179)
Site-533,POINT(-1342.0810167473 1371.73515836622)
Site-534,POINT(196.993971241526 2393.76973422802)
Site-535,POINT(-1402.59605549877 1754.34804277154)
Site-536,POINT(213.896203428993 1085.41867382574)
Site-537,POINT(-1162.89359268745 1598.06208817783)
Site-538,POINT(685.526322641321 1150.10461463704)
Site-539,POINT(-1172.61835615574 1928.3268240872)
